Designator,Mid X,Mid Y,Layer,Rotation,Package,Value
"12v","42.7425mm","0mm","Top",90,"",""
"BZ1","29.9502mm","17.7551mm","Top",90,"",""
"C1","6.6458mm","2.0149mm","Top",90,"","100nfF"
"C1 35v 100uf","21.898mm","0.1964mm","Top",90,"CAP-SMD_BD6.3-L6.6-W6.6-LS7.4-FD",""
"H1","-45.696mm","-27.4697mm","Top",0,"",""
"H2","-45.696mm","27.9011mm","Top",180,"",""
"H3","46.0148mm","27.9011mm","Top",180,"",""
"H4","46.0148mm","-27.4697mm","Top",0,"",""
"J1","-10.5999mm","17.8051mm","Top",270,"",""
"J2","-10.5999mm","12.9726mm","Top",270,"",""
"J3","-10.5999mm","-12.5516mm","Top",270,"",""
"J4","-10.5999mm","-17.4187mm","Top",270,"",""
"J5","-10.6mm","-21.6991mm","Top",270,"",""
"J6","-0.44mm","22.2621mm","Top",90,"",""
"J7","-20.76mm","22.262mm","Top",90,"",""
"MPU6050","-38.3878mm","0mm","Top",180,"",""
"R1","12.5444mm","7.4075mm","Top",0,"","10kΩ"
"R2","0mm","7.4075mm","Top",0,"","33kΩ"
"U1 LM7805","32.2175mm","0.26mm","Top",90,"",""
